Reporting starts,2026-04-17,Reporting ends,2026-05-17,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Campaign name,Ad set name,Delivery,Budget,Amount spent (USD),Reach,Impressions,Frequency,CPM (cost per 1000 impressions) (USD),Link clicks,CPC (cost per link click) (USD),CTR (link click-through rate),Purchases,Purchase conversion value (USD),Purchase ROAS (return on ad spend),Cost per purchase (USD),Result type
,,,,,,,,,,,,,,,,
Prospecting | Broad Audiences | TOF,,,,,,,,,,,,,,,,
,Interest Stack — Homewares + Lifestyle,Active,$85.00/day,$2240.00,38400,168000,4.37,$13.33,2352,$0.95,1.40%,38,$8740.00,3.90,$58.95,Purchases
,Broad — 25-44 Women AU/NZ,Active,$60.00/day,$1680.00,24600,121000,4.92,$13.88,1452,$1.16,1.20%,22,$4840.00,2.88,$76.36,Purchases
,Open Targeting — All Devices,Paused,$40.00/day,$0.00,0,0,0,$0.00,0,$0.00,0.00%,0,$0.00,0,$0.00,Purchases
,,,,,,,,,,,,,,,,
Prospecting | Lookalike 1-3% | TOF,,,,,,,,,,,,,,,,
,LAL 1% — Purchasers (90d),Active,$75.00/day,$2240.00,29800,112000,3.76,$20.00,1008,$2.22,0.90%,14,$3108.00,1.39,$160.00,Purchases
,LAL 2-3% — Purchasers (90d),Active,$50.00/day,$1540.00,40200,153600,3.82,$10.03,1075,$1.43,0.70%,10,$1960.00,1.27,$154.00,Purchases
,,,,,,,,,,,,,,,,
Retargeting | Website Visitors 30d | BOF,,,,,,,,,,,,,,,,
,Viewed Product — All,Active,$30.00/day,$820.00,5200,18600,3.58,$44.09,648,$1.27,3.48%,28,$6384.00,7.78,$29.29,Purchases
,All Website Visitors excl. Purchasers,Active,$20.00/day,$420.00,6800,21080,3.10,$19.93,462,$0.91,2.19%,14,$3430.00,8.17,$30.00,Purchases
,,,,,,,,,,,,,,,,
Retargeting | Add to Cart + Initiate Checkout 14d | BOF,,,,,,,,,,,,,,,,
,Add to Cart — 14d,Active,$25.00/day,$520.00,2100,7350,3.50,$70.75,441,$1.18,6.00%,22,$6556.00,12.61,$23.64,Purchases
,Initiate Checkout — 7d,Active,$15.00/day,$280.00,980,3920,4.00,$71.43,196,$1.43,5.00%,13,$4316.00,15.41,$21.54,Purchases
,,,,,,,,,,,,,,,,
Brand Awareness | Video Views | TOF,,,,,,,,,,,,,,,,
,Video — Brand Story 60s,Active,$45.00/day,$1380.00,72000,212400,2.95,$6.50,420,$3.29,0.20%,0,$0.00,0,$0.00,Video views
,Video — Product Showcase 30s,Active,$15.00/day,$420.00,28000,84000,3.00,$5.00,168,$2.50,0.20%,0,$0.00,0,$0.00,Video views
,,,,,,,,,,,,,,,,
New Collection Launch — May | TOF,,,,,,,,,,,,,,,,
,Interest — Fashion Forward 18-35,Active,$50.00/day,$980.00,18200,57120,3.14,$17.16,514,$1.91,0.90%,6,$828.00,0.85,$163.33,Purchases
,Broad — New Collection Creative,Active,$15.00/day,$420.00,9800,32340,3.30,$12.99,226,$1.86,0.70%,2,$276.00,0.66,$210.00,Purchases
,,,,,,,,,,,,,,,,
TOTALS,,,,,$12940.00,276080,1190910,4.31 avg,$10.86 avg,9962,$1.30 avg,0.84% avg,169,$40438.00,3.12,$76.57 avg,
,,,,,,,,,,,,,,,,
Account notes — exported from Meta Ads Manager — Business: Luminae Home — Account ID: act_448821093 — Currency: USD — Timezone: Australia/Sydney
